Crosses,LinebreaksAttemptedDefensiveLine,Passes,PassesCompleted,TimePlayed,player_id,team,team_id,advanced,position,linebreaks_per90,linebreaks_per100passes,crosses_per90,passing_accuracy_rate
7,14.0,102,89,335.66993333333335,406280,USA,43921,True,Defender,3.753687402049116,13.725490196078432,1.876843701024558,87.25490196078431
3,3.0,65,59,171.50476666666668,430597,BRA,43924,True,Forward,1.5743002672617648,4.615384615384616,1.5743002672617648,90.76923076923077
0,3.0,97,70,363.09106666666673,431202,PAR,43928,True,Defender,0.7436151004174157,3.0927835051546393,0.0,72.16494845360825
1,0.0,13,12,87.7687,386339,MEX,43911,True,Forward,0.0,0.0,1.025422502555011,92.3076923076923
2,1.0,31,29,85.83313333333334,447866,ESP,43969,True,Midfielder,1.0485461325346777,3.225806451612903,2.0970922650693553,93.54838709677419
0,1.0,22,15,99.60738333333333,514334,CZE,43995,False,Defender,0.9035474779898345,4.545454545454546,0.0,68.18181818181817
0,0.0,14,14,59.519333333333336,519985,CZE,43995,False,Forward,0.0,0.0,0.0,100.0
0,2.0,44,35,152.65538333333333,404885,CZE,43995,False,Midfielder,1.1791264485377357,4.545454545454546,0.0,79.54545454545455
2,1.0,47,35,142.47899999999998,441166,CZE,43995,False,Defender,0.6316720358789717,2.127659574468085,1.2633440717579434,74.46808510638297
1,7.0,690,668,857.4236500000001,474973,ESP,43969,True,Defender,0.7347592989766494,1.0144927536231882,0.10496561413952132,96.81159420289856
0,1.0,66,55,169.3678,441167,CZE,43995,False,Defender,0.531387902541097,1.5151515151515151,0.0,83.33333333333334
40,36.0,265,225,697.6448833333333,484320,ESP,43969,True,Forward,4.644196606903136,13.584905660377359,5.160218452114594,84.90566037735849
2,2.0,160,135,301.0626833333333,441170,CZE,43995,False,Defender,0.5978821353980491,1.25,0.5978821353980491,84.375
0,3.0,28,24,199.70201666666668,401481,CZE,43995,False,Forward,1.3520143887714036,10.714285714285714,0.0,85.71428571428571
1,4.0,101,89,262.03216666666674,430733,ESP,43969,True,Midfielder,1.373877125772726,3.9603960396039604,0.3434692814431815,88.11881188118812
1,1.0,26,18,172.08943333333337,433754,CZE,43995,False,Forward,0.5229838826052267,3.8461538461538463,0.5229838826052267,69.23076923076923
4,3.0,47,34,100.11358333333334,483936,CZE,43995,False,Defender,2.6969367293648965,6.382978723404255,3.595915639153195,72.3404255319149
7,12.0,297,266,366.81455000000005,430718,ESP,43969,True,Midfielder,2.9442670690134833,4.040404040404041,1.7174891235911987,89.56228956228956
0,1.0,8,7,43.13613333333333,483961,CZE,43995,False,Forward,2.0864178832286,12.5,0.0,87.5
0,5.0,314,253,857.4236500000001,430753,ESP,43969,True,Goalkeeper,0.5248280706976067,1.5923566878980893,0.0,80.57324840764332
19,17.0,420,379,640.0823333333334,430144,ESP,43969,True,Defender,2.390317495613845,4.0476190476190474,2.6715313186272387,90.23809523809524
2,3.0,48,37,137.64870000000002,484011,CZE,43995,False,Midfielder,1.9615150742433454,6.25,1.3076767161622302,77.08333333333334
1,0.0,29,25,83.8494,423658,ESP,43969,True,Forward,0.0,0.0,1.0733529399137023,86.20689655172413
1,2.0,116,104,301.0626833333333,486080,CZE,43995,False,Defender,0.5978821353980491,1.7241379310344827,0.29894106769902457,89.65517241379311
11,4.0,84,69,204.00071666666668,433668,CZE,43995,False,Midfielder,1.7646996828360817,4.761904761904762,4.852924127799223,82.14285714285714
14,16.0,469,420,565.1375666666667,423646,ESP,43969,True,Midfielder,2.5480521645260765,3.411513859275053,2.229545643960317,89.55223880597015
1,2.0,42,36,172.187,486081,CZE,43995,False,Midfielder,1.0453750863886355,4.761904761904762,0.5226875431943178,85.71428571428571
0,0.0,24,22,29.62663333333333,430754,ESP,43969,True,Midfielder,0.0,0.0,0.0,91.66666666666666
1,3.0,51,39,209.14438333333334,486082,CZE,43995,False,Forward,1.290974185855497,5.88235294117647,0.4303247286184991,76.47058823529412
3,21.0,799,747,819.4039833333334,411375,ESP,43969,True,Midfielder,2.3065545670299095,2.6282853566958697,0.3295077952899871,93.4918648310388
0,0.0,11,10,29.499849999999995,405562,ESP,43969,True,Defender,0.0,0.0,0.0,90.9090909090909
0,1.0,18,14,58.453383333333335,358003,CZE,43995,False,Midfielder,1.5396884639982344,5.555555555555555,0.0,77.77777777777779
0,3.0,20,13,134.9916166666667,485676,HAI,43908,False,Forward,2.000124205243856,15.0,0.0,65.0
2,1.0,61,54,171.92673333333335,397775,HAI,43908,False,Defender,0.5234787996902556,1.639344262295082,1.0469575993805111,88.52459016393442
7,3.0,48,42,237.10235,485664,HAI,43908,False,Forward,1.138748730242446,6.25,2.657080370565707,87.5
1,2.0,39,34,101.50488333333334,505112,MAR,43872,True,Midfielder,1.7733136977153645,5.128205128205128,0.8866568488576823,87.17948717948718
1,0.0,9,8,33.98626666666665,523288,MAR,43872,True,Forward,0.0,0.0,2.6481284597307946,88.88888888888889
6,6.0,111,93,306.90215,489300,HAI,43908,False,Defender,1.7595184654131617,5.405405405405405,1.7595184654131617,83.78378378378379
2,1.0,116,102,288.64438333333334,466838,HAI,43908,False,Midfielder,0.31180236026302954,0.8620689655172413,0.6236047205260591,87.93103448275862
5,5.0,15,13,129.93523333333334,481027,HAI,43908,False,Forward,3.4632638773624906,33.33333333333333,3.4632638773624906,86.66666666666667
12,5.0,130,112,292.5059666666667,430697,HAI,43908,False,Midfielder,1.5384301562395475,3.8461538461538463,3.6922323749749144,86.15384615384616
0,5.0,136,121,306.90215,275917,HAI,43908,False,Defender,1.4662653878443015,3.6764705882352944,0.0,88.97058823529412
0,1.0,264,237,425.1304,485760,MAR,43872,True,Midfielder,0.21169975141744743,0.3787878787878788,0.0,89.77272727272727
0,0.0,119,113,208.51815,485767,MAR,43872,True,Defender,0.0,0.0,0.0,94.9579831932773
0,0.0,10,7,74.79993333333333,411678,MAR,43872,True,Forward,0.0,0.0,0.0,70.0
0,3.0,326,299,534.4722666666667,403083,MAR,43872,True,Defender,0.5051712068876913,0.9202453987730062,0.0,91.71779141104295
7,8.0,95,80,411.81245,448598,MAR,43872,True,Midfielder,1.7483687052200583,8.421052631578947,1.529822617067551,84.21052631578947
6,17.0,315,281,477.21636666666666,441307,MAR,43872,True,Midfielder,3.2060928896613,5.396825396825397,1.1315621963510472,89.20634920634922
0,3.0,433,405,634.7040666666667,485740,MAR,43872,True,Midfielder,0.42539510014168286,0.6928406466512702,0.0,93.53348729792148
1,2.0,151,146,306.90215,448363,HAI,43908,False,Defender,0.5865061551377205,1.3245033112582782,0.29325307756886027,96.68874172185431
3,1.0,166,152,240.65803333333332,424071,MAR,43872,True,Defender,0.37397463427012134,0.6024096385542169,1.121923902810364,91.56626506024097
0,3.0,106,98,175.12661666666668,372266,MAR,43872,True,Midfielder,1.5417416560608481,2.8301886792452833,0.0,92.45283018867924
1,4.0,110,100,121.32186666666668,505097,MAR,43872,True,Midfielder,2.967313394452662,3.6363636363636362,0.7418283486131655,90.9090909090909
0,0.0,17,13,168.96856666666667,431693,HAI,43908,False,Forward,0.0,0.0,0.0,76.47058823529412
0,2.0,105,67,306.90215,295922,HAI,43908,False,Goalkeeper,0.5865061551377205,1.9047619047619049,0.0,63.8095238095238
